,name,appid
739,Admine,1
740,Adolescent Santa Claus,1
741,Adorables,1
742,Adrenaline Adventure,1
743,Adult Math,1
744,Adult Toy Store,1
745,Adva-lines,1
746,Advanced Gaming Platform::Epica,1
747,Advanced Mechanized Spacecraft,1
748,Advanced Tactics Gold,1
749,Advent,1
750,Advent Rising,1
751,Adventure Apes and the Mayan Mystery,1
752,Adventure Boy Cheapskate DX,1
753,Adventure Chronicles: The Search For Lost Treasure,1
754,Adventure Climb VR,1
755,Adventure Craft,1
756,Adventure Delivery Service,1
757,Adventure Game,1
758,Adventure Golf VR,1
759,Adventure Hero,1
760,Adventure Lamp,1
761,Adventure Land - The Code MMORPG,1
762,Adventure Of Thieves,1
763,Adventure Portal,1
764,Adventure Time: Finn and Jake's Epic Quest,1
765,Adventure Time: Magic Man's Head Games,1
766,Adventure Time: Pirates of the Enchiridion,1
767,Adventure World,1
768,Adventure in Kana Village,1
769,Adventure in the Tower of Flight,1
770,Adventure of a Digger,1
771,Adventure of a Lifetime,1
772,AdventureQuest 3D,1
773,Adventurer Manager,1
774,Adventures Of Fluzz,1
775,Adventures Of Pipi,1
776,Adventures Of Pipi 2 Save Hype,1
777,Adventures On The Polluted Islands,1
778,Adventures in the Light & Dark,1
779,Adventures of Abrix,1
780,Adventures of Bertram Fiddle: Episode 1: A Dreadly Business,1
781,Adventures of Bertram Fiddle: Episode 2: A Bleaker Predicklement,1
782,Adventures of Dragon,1
783,Adventures of Hendri,1
784,Adventures of Mike,1
785,Adventures of Pip,1
786,Adventures of Robinson Crusoe,1
787,Adventures of Shuggy,1
788,Adventurezator: When Pigs Fly,1
789,Adventuring Gentleman,1
790,AdvertCity,1
791,Aegis,1
792,Aegis Defenders,1
793,Aegis of Earth: Protonovus Assault,1
794,AegisM,1
795,Aeioth RPG,1
796,Aeon,1
797,Aeon Command,1
798,Aeon of Sands - The Trail,1
799,Aequitas Orbis,1
800,Aerannis,1
801,AereA,1
802,Aerial Destruction,1
803,Aerial Guardian,1
804,Aero's Quest,1
805,AeroChopper,1
806,Aerofly FS 1 Flight Simulator,1
807,Aerofly FS 2 Flight Simulator,1
808,Aeroplanoui,1
809,Aerospace Forces,1
810,Aesthetic Arena,1
811,Aesthetic Melody,1
812,Aesthetic World,1
813,Aeternum,1
814,Aether Drift,1
815,Aetheria Online,1
816,Aetherspace,1
817,Aeve:Zero Gravity,1
818,Afelhem,1
819,Affairs of the Court: Choice of Romance,1
820,Affected Zone Tactics,1
821,Affliction,1
822,AffordaGolf Online,1
823,Afghanistan '11,1
824,Africa Hunting,1
825,After All,1
826,After Death,1
827,After Dreams,1
828,After Hours,1
829,After Life - Story of a Father,1
830,After Rain: Phoenix Rise,1
831,After Reset RPG,1
832,After The End: The Harvest,1
833,After the Collapse,1
834,After the Empire,1
835,AfterTime,1
836,Aftercharge,1
837,Afterlife,1
838,Afterlife Empire,1
839,Aftermath Y2K,1
840,Afternoon empire,1
841,Again?,1
842,Against the Gradient,1
843,Agapan,1
844,Agarest: Generations of War,1
845,Agarest: Generations of War 2,1
846,Agarest: Generations of War Zero,1
847,Agartha,1
848,Agatha Christie - The ABC Murders,1
849,Agatha Knife,1
850,Age Of Forays,1
851,Age of Barbarian Extended Cut,1
852,Age of Castles: Warlords,1
853,Age of Cavemen,1
854,Age of Civilizations II,1
855,Age of Conan: Unchained,1
856,Age of Conquest IV,1
857,Age of Empires II HD,1
858,Age of Empires® III: Complete Collection,1
859,Age of Enigma: The Secret of the Sixth Ghost,1
860,Age of Farming,1
861,Age of Fear 2: The Chaos Lord GOLD,1
862,Age of Fear 3: The Legend,1
863,Age of Fear: The Free World,1
864,Age of Fear: The Undead King,1
865,Age of Giants,1
866,Age of Gladiators,1
867,Age of Gladiators II: Death League,1
868,Age of Gladiators II: Rome,1
869,Age of Heroes (VR),1
870,Age of Heroes: Conquest,1
871,Age of Mythology: Extended Edition,1
872,Age of Rivals,1
873,Age of Survival,1
874,Age of Viking Conquest,1
875,Age of Wonders,1
876,Age of Wonders II: The Wizard's Throne,1
877,Age of Wonders III,1
878,Age of Wonders Shadow Magic,1
879,AgeOfDarkness,1
880,Agenda,1
881,Agent 9,1
882,Agent Awesome,1
883,Agent Walker: Secret Journey,1
884,Agents of Aggro City Online,1
885,Agents of Mayhem,1
886,Ages of Mages: The last keeper,1
887,Aggelos,1
888,Aggression: Europe Under Fire,1
889,Aggressors: Ancient Rome,1
890,Agony,1
891,Agricola: All Creatures Big and Small,1
892,Agricultural Simulator 2011: Extended Edition,1
893,Agricultural Simulator 2012: Deluxe Edition,1
894,Agricultural Simulator 2013 - Steam Edition,1
895,Agricultural Simulator: Historical Farming,1
896,Aground,1
897,"Ah, Love!",1
898,Ahlman Arcade 2018,1
899,Ahnayro: The Dream World,1
900,Ahros: One Warrior Chronicle,1
901,Aidsmoji: The Forbidden Fruit,1
902,Aik's Cheese Adventures,1
903,Aim Hero,1
904,Aim Lab,1
905,Aim Master,1
906,Aim Theory - Trainer,1
907,Aim Trainer 3D,1
908,Aim Trainer Pro,1
909,Aimtastic,1
910,Air Brawl,1
911,Air Combat,1
912,Air Combat Arena,1
913,Air Conflicts: Pacific Carriers,1
914,Air Conflicts: Secret Wars,1
