,url,desc,full_desc,requirements,popu_tags,game_name
59750,https://store.steampowered.com/bundle/16034/VR_Historical_Journey_to_the_Past/?snr=1_7_7_230_150_2387,-,,-,-,VR_Historical_Journey_to_the_Past
59755,https://store.steampowered.com/bundle/10160/Lyantei__Soundtrack/?snr=1_7_7_230_150_2388,-,,-,-,Lyantei__Soundtrack
59764,https://store.steampowered.com/bundle/10384/Sudoku3D_Bundle/?snr=1_7_7_230_150_2388,-,,-,-,Sudoku3D_Bundle
59765,https://store.steampowered.com/bundle/10385/Sudoku3D_Gift_Bundle/?snr=1_7_7_230_150_2388,-,,-,-,Sudoku3D_Gift_Bundle
59775,https://store.steampowered.com/bundle/10689/Super_Jigsaw_Puzzle_Generations__Animals_Pack/?snr=1_7_7_230_150_2388,-,,-,-,Super_Jigsaw_Puzzle_Generations__Animals_Pack
59777,https://store.steampowered.com/bundle/9809/_/?snr=1_7_7_230_150_2389,-,,-,-,_
59778,https://store.steampowered.com/bundle/9820/Pixel_Puzzles_Ultimate_Jigsaw_Bundle_Variety/?snr=1_7_7_230_150_2389,-,,-,-,Pixel_Puzzles_Ultimate_Jigsaw_Bundle_Variety
59779,https://store.steampowered.com/bundle/11049/Evolution_of_the_games_DUPEYRON/?snr=1_7_7_230_150_2389,-,,-,-,Evolution_of_the_games_DUPEYRON
59783,https://store.steampowered.com/bundle/11023/King_Arthur_Match3_Bundel/?snr=1_7_7_230_150_2389,-,,-,-,King_Arthur_Match3_Bundel
59787,https://store.steampowered.com/bundle/13008/Pixel_Puzzles_Traditional_Jigsaws_Bundle_Variety/?snr=1_7_7_230_150_2389,-,,-,-,Pixel_Puzzles_Traditional_Jigsaws_Bundle_Variety
59789,https://store.steampowered.com/bundle/13056/Deadly_Maze_Phase_1__Game__Soundtrack_Bundle/?snr=1_7_7_230_150_2389,-,,-,-,Deadly_Maze_Phase_1__Game__Soundtrack_Bundle
59793,https://store.steampowered.com/bundle/13161/StretchBot__Game__Soundtrack_Bundle/?snr=1_7_7_230_150_2389,-,,-,-,StretchBot__Game__Soundtrack_Bundle
59795,https://store.steampowered.com/bundle/13197/Pixel_Puzzles_Jigsaw_Bundle_Variety/?snr=1_7_7_230_150_2389,-,,-,-,Pixel_Puzzles_Jigsaw_Bundle_Variety
59796,https://store.steampowered.com/bundle/13202/Pixel_Puzzles_Jigsaw_Bundle_Europe/?snr=1_7_7_230_150_2389,-,,-,-,Pixel_Puzzles_Jigsaw_Bundle_Europe
59797,https://store.steampowered.com/bundle/13204/Pixel_Puzzles_Ultimate_Jigsaw_Bundle_Europe/?snr=1_7_7_230_150_2389,-,,-,-,Pixel_Puzzles_Ultimate_Jigsaw_Bundle_Europe
59798,https://store.steampowered.com/bundle/13206/Pixel_Puzzles_Traditional_Jigsaws_Bundle_Geography/?snr=1_7_7_230_150_2389,-,,-,-,Pixel_Puzzles_Traditional_Jigsaws_Bundle_Geography
